"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384","X385","X386","X387","X388","X389","X390","X391","X392","X393","X394","X395","X396","X397","X398","X399","X400","X401","X402","X403","X404","X405","X406","X407","X408","X409","X410","X411","X412","X413","X414","X415","X416","X417","X418","X419","X420","X421","X422","X423","X424","X425","X426","X427","X428","X429","X430","X431","X432","X433","X434","X435","X436","X437","X438","X439","X440","X441","X442","X443","X444","X445","X446","X447","X448","X449","X450","X451","X452","X453","X454","X455","X456","X457","X458","X459","X460","X461","X462","X463","X464","X465","X466","X467","X468","X469","X470","X471","X472","X473","X474","X475","X476","X477","X478","X479","X480"
9,4,9,12,8,9,9,12,7,8,5,12,13,13,6,7,11,9,11,9,6,7,5,10,5,12,3,6,12,12,9,6,5,10,11,10,10,13,9,9,7,15,9,8,8,7,15,12,9,11,4,7,5,3,5,2,2,6,9,3,8,8,12,7,6,13,8,10,9,8,13,13,18,14,15,10,10,7,16,17,5,3,8,6,4,6,0,4,3,3,9,10,15,6,11,4,10,8,6,7,12,15,15,21,14,9,11,14,20,11,5,5,10,3,0,5,3,2,3,1,10,12,7,9,8,5,14,11,15,13,13,19,17,10,9,16,10,10,15,16,11,5,2,6,3,7,4,2,6,8,9,10,7,7,10,15,8,13,11,13,16,8,9,14,19,17,12,14,12,16,7,3,4,5,5,7,3,9,4,7,5,13,8,4,7,11,7,9,12,11,13,14,10,15,13,16,8,14,12,11,11,2,7,7,11,9,13,12,8,6,13,9,5,12,13,5,8,11,7,9,11,18,12,15,9,13,14,14,11,15,7,15,11,5,9,11,12,3,10,9,17,7,11,9,7,8,13,10,11,7,9,5,9,8,4,14,7,9,9,12,11,11,10,12,8,13,14,12,8,6,14,7,9,8,22,13,5,6,5,12,7,7,7,7,4,9,6,8,10,7,9,10,14,11,16,13,13,21,13,12,11,12,10,13,7,14,5,10,8,12,7,3,6,7,0,6,1,6,5,5,13,8,23,5,11,14,13,11,17,17,9,8,14,8,7,10,12,12,15,12,3,4,3,4,5,2,6,1,7,2,17,11,15,18,16,8,18,15,17,10,9,8,7,5,7,13,8,9,9,9,6,1,8,4,6,11,4,7,2,8,15,13,12,9,15,12,9,12,16,11,8,9,11,5,4,10,10,6,9,11,3,3,6,4,4,6,5,3,5,3,12,16,9,10,17,6,10,12,14,18,11,10,8,4,7,6,8,6,4,12,9,6,6,4,4,6,10,5,3,3,14,10,11,9,10,12,10,9,10,13,4,7,8,5,9,5,9,11,6,6,4,5,6,7,12,6,7,8,4,2,12,5,12,8,17,11,9,6,14,12
4,5,9,8,9,9,7,3,4,7,14,10,11,7,2,7,10,14,7,5,6,9,5,8,10,8,3,7,5,10,5,2,8,7,5,8,7,5,8,9,12,13,19,6,12,14,10,11,17,10,2,5,4,6,1,5,4,4,3,3,12,7,12,12,9,4,11,13,4,8,13,10,15,12,14,18,12,19,12,11,5,3,1,2,2,5,6,1,5,5,11,7,10,14,13,8,5,10,11,9,18,14,15,16,12,14,14,14,15,11,6,4,6,5,4,3,4,3,4,8,7,7,8,5,6,15,9,15,8,5,18,16,14,14,12,11,10,21,13,13,3,7,6,4,5,7,6,7,5,3,9,14,12,8,5,10,9,8,9,12,16,11,10,22,19,11,11,13,15,20,6,5,5,5,3,2,6,4,6,2,13,5,9,15,8,8,7,8,6,6,18,11,18,12,11,10,8,18,9,8,5,8,9,6,9,9,5,5,4,8,8,8,18,6,7,12,9,9,7,11,10,8,10,9,11,16,15,13,10,14,6,13,12,7,9,6,5,7,9,16,10,3,6,14,8,13,13,12,11,11,11,8,11,8,11,13,5,8,12,14,10,9,9,10,6,17,10,10,8,7,5,9,11,20,13,16,6,3,11,15,5,4,5,9,4,8,3,6,9,5,15,13,8,8,9,15,10,16,18,8,10,8,4,4,10,9,4,10,9,10,7,2,4,2,7,5,8,10,5,7,15,8,16,17,13,12,11,16,18,14,7,15,8,5,12,11,5,11,15,7,6,2,1,5,6,10,4,2,1,1,13,13,11,21,13,13,13,15,12,15,9,6,16,9,16,8,8,11,8,8,3,4,6,3,7,6,4,3,8,3,13,8,9,16,19,10,14,18,8,16,16,6,10,9,7,14,15,12,9,6,4,6,0,6,10,3,5,3,4,10,10,16,10,12,15,16,16,11,13,14,11,8,10,12,5,7,5,9,7,10,2,7,5,9,9,3,6,6,9,7,11,15,7,6,9,9,9,11,10,10,10,3,5,5,8,8,3,6,10,10,3,5,6,11,6,4,8,12,7,6,6,10,6,8,7,10,6,10,13,11
10,12,6,10,7,11,14,14,5,7,9,6,12,8,9,8,10,10,11,11,8,6,6,6,6,7,7,8,8,10,9,7,13,7,6,6,4,13,8,9,8,9,10,20,7,9,8,8,11,12,11,8,5,4,2,4,3,7,8,3,12,9,9,3,11,3,16,9,6,10,18,11,12,6,13,12,16,13,14,13,6,4,7,5,5,3,4,6,4,2,10,9,4,7,8,16,12,12,8,8,10,14,7,16,12,9,16,17,19,14,3,5,2,4,5,4,3,2,4,4,6,14,9,10,8,10,9,4,9,7,16,11,20,14,14,16,16,18,11,21,6,6,3,1,5,7,4,5,5,3,10,8,11,9,7,11,8,14,8,14,13,13,17,17,9,21,20,13,16,12,7,6,5,7,8,4,8,3,8,7,8,10,13,10,8,14,8,8,7,17,19,17,12,10,8,9,12,16,7,12,13,8,11,7,6,9,5,6,13,7,10,13,4,9,7,6,15,10,7,14,9,6,6,17,8,12,9,10,11,10,6,11,5,8,7,8,4,11,9,8,16,9,11,9,11,11,7,20,3,13,12,9,15,16,11,11,7,16,12,11,10,9,12,12,14,16,13,9,9,13,8,9,13,8,6,9,9,14,16,9,3,4,7,7,6,5,4,8,9,9,14,10,18,7,9,11,11,14,14,14,8,10,5,12,14,8,5,3,16,8,6,5,3,11,4,9,6,10,3,3,6,9,11,16,16,22,17,18,14,16,7,9,10,5,12,10,22,10,11,6,4,3,5,4,2,4,3,5,2,8,13,16,12,22,10,15,13,16,13,8,5,6,14,8,4,7,11,3,9,6,4,5,3,2,7,9,5,4,5,4,12,23,16,17,18,19,12,12,16,19,11,5,11,11,6,5,10,6,8,5,8,3,6,1,1,6,3,4,5,3,10,7,12,10,13,15,15,9,12,11,15,8,12,6,7,8,10,6,10,10,4,6,7,3,9,3,5,3,6,5,10,8,8,12,10,9,13,10,13,9,7,7,3,10,5,5,7,8,8,9,5,7,6,7,3,4,7,4,7,6,6,5,12,9,7,7,10,12,7,12
7,6,12,9,5,7,4,7,8,10,4,9,11,9,11,10,10,9,10,12,7,13,6,5,14,7,6,2,10,8,4,11,7,8,3,5,7,7,3,11,8,14,9,14,11,10,8,16,10,8,5,6,3,11,2,4,6,5,4,5,13,10,12,7,12,7,11,11,6,8,9,16,14,16,14,16,14,12,10,12,3,2,8,6,4,2,7,4,4,6,7,6,4,13,3,11,11,8,6,10,11,9,16,12,11,17,13,14,15,16,10,6,3,5,2,7,3,5,2,6,10,7,9,8,12,8,4,6,2,12,13,14,22,15,11,17,14,16,14,23,4,5,4,4,6,4,4,7,4,1,6,11,7,8,10,10,9,9,10,9,15,13,13,17,23,6,10,18,7,12,5,5,3,5,5,3,8,5,7,6,6,9,12,12,15,13,3,14,9,11,15,13,12,8,9,18,13,14,20,12,8,9,9,6,6,8,5,4,1,7,7,8,13,6,6,12,8,8,15,12,6,13,8,13,10,10,11,11,15,10,11,6,10,9,5,9,6,12,9,6,7,9,14,7,3,8,11,6,16,16,5,9,9,11,7,5,9,8,9,14,15,10,14,7,6,6,13,4,12,6,8,10,10,10,17,10,7,6,11,11,7,9,6,8,6,10,9,10,5,6,15,16,13,16,17,13,13,10,11,15,9,8,8,9,11,12,5,9,10,7,4,5,1,6,6,7,5,5,5,2,10,11,10,11,13,11,11,8,9,13,11,6,4,7,10,10,13,11,10,10,4,1,1,2,6,5,5,1,3,7,12,13,11,21,11,20,19,15,19,8,9,10,10,3,3,6,11,11,16,8,4,6,4,3,6,2,7,5,7,7,21,18,14,18,10,17,12,9,9,11,7,10,10,7,10,14,9,6,8,9,3,6,6,2,5,3,6,6,9,3,19,17,18,18,11,19,5,5,15,22,8,5,8,9,9,4,4,7,5,8,5,7,6,2,6,7,10,4,3,3,8,14,11,10,15,9,11,11,9,15,7,6,8,9,9,11,10,6,8,11,4,10,5,7,6,8,6,8,7,7,8,8,11,6,9,11,5,10,7,5
11,4,5,13,12,10,5,10,10,9,7,7,14,7,11,4,13,6,7,10,7,7,4,7,6,8,11,14,6,8,7,11,6,6,12,3,8,12,11,9,16,12,8,9,9,11,7,3,11,9,4,8,6,9,4,5,7,9,8,3,13,8,11,11,11,10,7,9,10,10,17,12,9,11,12,15,12,11,10,15,6,7,4,2,3,5,6,5,10,7,8,9,10,14,6,5,6,9,7,8,14,10,17,19,10,14,15,21,14,11,2,2,5,8,6,7,5,7,5,7,9,6,17,11,4,10,9,4,15,12,15,14,15,19,20,18,19,12,14,7,7,6,8,7,4,6,5,3,4,6,7,10,10,14,11,8,4,9,3,13,9,19,17,9,13,7,10,16,14,15,8,0,4,5,2,12,2,10,8,4,13,10,8,11,13,6,16,4,10,12,20,14,15,12,15,8,15,16,12,12,5,7,4,3,7,8,7,9,4,3,7,5,9,9,13,4,9,13,6,13,12,14,12,9,12,14,16,15,8,9,8,10,17,10,6,11,11,10,7,7,13,12,10,12,9,14,14,6,14,10,10,12,12,10,10,11,8,9,13,9,19,9,16,8,9,16,15,6,7,13,8,6,5,13,10,7,13,9,12,9,8,5,7,4,9,7,6,11,14,5,15,13,14,14,9,16,11,7,12,14,9,20,6,11,11,9,6,12,9,11,8,4,3,8,6,2,5,6,10,1,19,20,15,17,9,17,17,14,14,14,7,5,8,10,6,17,11,6,12,8,6,3,3,3,3,7,6,4,11,2,13,21,21,13,18,13,19,20,16,9,9,11,9,11,5,13,10,10,12,5,7,2,4,5,1,2,2,6,7,9,13,11,15,11,15,7,9,15,12,6,8,8,7,7,5,15,6,16,7,11,6,2,9,3,6,6,4,4,0,3,10,21,12,10,11,15,14,9,8,15,12,6,8,12,10,5,9,8,10,10,10,4,5,7,6,7,5,4,3,7,12,9,7,12,11,10,11,8,7,12,11,6,4,5,7,14,4,9,4,9,6,4,7,7,5,8,5,9,5,7,8,9,10,5,9,8,9,8,14,6
11,11,9,4,11,11,11,5,11,6,8,11,5,6,11,9,13,12,9,11,6,3,8,8,5,7,6,8,12,5,14,6,12,13,7,5,8,1,7,7,8,13,13,15,15,10,8,11,13,14,9,3,9,6,11,3,2,5,10,7,10,6,10,17,9,13,7,9,8,14,15,16,14,16,9,10,12,13,8,9,3,4,5,5,5,4,10,5,6,6,3,11,12,8,9,12,9,9,10,12,10,13,12,12,19,12,19,12,12,12,4,6,4,4,3,6,5,4,3,2,5,7,11,10,21,4,6,6,13,13,19,10,19,11,17,13,14,9,10,18,4,4,6,6,6,3,4,2,4,3,14,7,10,9,10,13,12,11,9,12,18,18,14,13,14,9,9,15,15,17,6,12,3,2,5,7,7,4,5,6,10,14,12,9,11,12,11,10,10,9,13,16,18,16,15,14,15,10,12,14,12,8,5,14,8,3,4,9,9,5,10,9,8,3,8,12,18,9,15,14,13,14,8,9,5,7,10,12,15,9,8,9,10,8,6,9,6,5,6,11,7,11,11,9,13,12,10,9,12,10,10,4,11,8,8,6,11,14,17,11,10,20,7,14,6,7,14,9,6,22,6,8,10,7,5,9,7,7,5,12,8,4,6,9,2,8,8,3,14,8,15,15,10,13,9,10,10,19,17,10,11,10,11,7,4,12,11,12,8,9,7,3,7,4,4,5,8,7,5,5,21,14,9,20,19,15,15,13,22,18,9,12,15,9,10,9,8,11,6,10,5,5,1,6,6,4,4,5,4,5,14,15,10,13,9,10,11,25,16,10,10,14,11,8,10,7,17,6,5,7,5,7,7,7,1,1,5,1,7,3,18,18,16,18,18,10,5,18,24,15,10,9,8,11,12,11,11,7,8,8,3,3,8,6,7,4,8,7,4,5,11,8,12,15,13,13,16,16,12,21,13,14,6,8,15,10,9,14,10,6,9,4,3,3,6,8,9,4,9,6,10,5,12,12,16,11,11,15,9,12,6,9,9,2,9,7,10,7,9,9,6,7,9,6,5,6,5,4,9,5,6,9,12,4,13,10,9,7,7,6
11,3,14,8,10,12,7,8,10,10,11,5,10,8,10,10,5,14,8,3,10,9,15,5,7,5,8,10,10,6,12,8,10,15,7,4,6,6,9,6,7,14,11,14,12,13,7,15,6,10,9,7,9,7,0,4,5,6,2,8,8,7,8,9,9,7,8,7,10,11,20,11,10,11,23,12,14,15,8,9,7,2,3,7,3,5,5,6,3,9,9,9,5,10,8,12,12,9,12,6,18,9,16,13,10,12,16,17,19,20,3,2,3,4,5,8,0,5,1,3,7,8,7,9,6,8,9,9,20,9,19,13,17,17,11,11,12,14,13,20,4,5,5,2,7,5,9,4,4,5,12,12,7,7,13,9,4,11,13,9,21,9,17,20,13,10,9,12,17,5,11,5,7,7,6,3,5,6,5,3,10,10,11,11,9,4,13,14,10,15,13,15,16,16,7,11,13,9,19,12,5,8,3,11,5,7,6,4,11,8,7,16,3,10,18,7,9,10,12,10,6,13,8,12,2,12,13,15,8,18,16,10,11,10,6,9,7,8,12,5,6,16,9,12,6,13,12,11,11,6,5,4,10,8,13,11,11,8,8,8,11,3,16,15,11,14,16,12,8,9,8,5,7,7,16,9,15,13,11,10,9,5,6,10,4,6,8,4,8,5,15,11,6,13,12,12,13,15,8,15,13,6,11,9,7,14,4,18,7,6,5,3,9,5,6,4,8,9,8,1,11,12,13,8,17,13,17,14,16,15,4,8,5,12,10,7,11,11,10,13,4,4,5,7,2,6,4,6,0,5,13,11,15,10,21,18,14,12,13,11,7,10,12,4,10,4,10,12,13,8,4,3,6,4,6,3,0,2,7,2,14,7,19,13,13,14,18,15,12,10,7,8,10,7,3,11,10,9,9,9,4,2,2,4,6,3,2,3,4,3,17,10,10,9,9,12,9,15,11,20,6,10,10,8,8,9,5,9,14,10,7,10,8,7,1,7,3,8,3,7,16,10,9,7,9,5,10,16,12,17,4,7,8,7,12,8,3,5,8,9,5,7,4,8,7,16,14,7,6,8,4,9,9,8,4,10,13,14,7,11
14,8,11,8,6,7,3,8,10,10,14,12,5,7,9,9,10,12,7,4,4,7,3,3,3,6,8,15,4,4,6,11,10,6,10,2,8,4,4,11,13,8,9,5,8,15,9,14,5,11,6,5,4,5,4,9,7,6,0,2,10,9,9,9,10,12,3,7,10,13,15,14,6,10,15,12,12,16,13,11,5,4,2,4,6,6,7,5,5,4,9,9,15,5,12,11,7,9,8,8,11,10,15,16,23,14,13,10,19,15,4,4,8,3,4,4,5,5,3,3,4,6,8,7,6,14,8,10,10,16,13,11,18,10,15,16,16,11,18,13,6,7,2,2,6,4,5,9,1,1,5,12,12,13,12,12,13,12,10,10,17,8,22,13,13,12,12,13,13,10,6,10,5,9,5,3,4,7,8,6,7,13,8,12,8,12,7,3,7,14,14,12,12,12,12,10,11,12,16,12,6,4,7,8,9,8,8,2,11,5,13,13,6,11,6,6,9,5,10,10,13,14,16,7,7,10,13,10,9,15,14,9,10,8,7,10,9,12,13,12,11,6,6,9,9,10,10,7,13,9,9,9,6,9,14,6,13,7,12,10,13,11,12,11,15,9,9,12,12,12,12,8,11,5,12,8,6,9,7,9,12,6,6,4,9,10,8,3,14,14,12,15,8,17,11,13,10,8,14,20,8,21,15,14,5,7,7,11,10,14,8,2,6,5,6,6,4,4,5,6,13,12,11,11,17,13,11,14,13,16,7,10,17,6,5,10,10,7,7,10,6,4,4,6,6,8,4,4,4,4,10,13,23,12,14,12,12,18,19,15,10,7,10,7,7,6,8,3,8,8,7,3,4,7,5,2,5,5,5,1,20,11,15,19,17,16,9,13,14,17,9,6,9,9,6,9,10,10,8,9,5,4,5,4,7,9,3,6,2,3,14,11,12,18,15,12,11,19,19,10,6,9,5,5,7,9,5,9,11,6,6,7,2,8,4,4,6,5,5,12,5,12,12,9,8,11,11,8,6,10,6,6,9,4,7,3,12,9,7,7,9,4,5,7,6,8,5,7,7,10,10,13,12,7,9,11,9,8,13,9
11,13,10,9,8,8,8,5,12,7,8,13,6,8,13,10,14,9,10,7,6,7,7,10,6,4,10,9,8,9,11,8,9,11,11,11,8,10,7,5,4,9,8,11,6,12,14,14,8,7,3,5,6,5,2,1,3,11,3,5,9,10,8,10,9,8,6,8,9,11,14,9,14,10,7,15,9,12,21,19,5,4,3,5,1,3,6,6,2,4,15,8,8,7,10,3,10,5,3,12,16,6,18,10,12,19,14,9,12,10,4,4,5,4,3,3,8,4,6,2,12,10,8,10,11,8,9,9,7,10,18,12,8,18,11,15,5,19,16,18,4,6,3,2,5,5,3,4,4,4,12,10,7,9,12,9,11,14,12,10,12,13,21,12,16,14,8,11,14,15,5,4,5,7,2,4,5,3,5,13,12,9,10,9,16,5,13,6,12,7,4,7,11,12,13,12,11,10,12,12,6,5,7,9,5,5,9,10,6,7,10,3,10,14,12,9,9,8,6,11,15,11,6,9,10,9,17,12,16,11,12,6,4,5,12,14,12,7,6,8,9,9,10,10,9,11,13,10,13,7,7,7,11,4,5,12,10,6,10,12,12,18,8,7,10,6,16,9,10,9,13,14,8,6,9,12,10,12,15,10,7,6,4,9,3,8,3,12,1,8,8,16,13,10,16,15,13,17,12,11,8,5,8,13,9,9,14,8,9,8,8,3,6,9,5,6,11,6,7,4,20,12,12,17,12,15,17,15,16,10,12,9,7,7,19,12,6,5,8,7,3,5,5,6,5,5,7,9,1,1,10,18,14,6,10,14,19,13,15,18,5,11,11,13,7,11,5,16,9,8,5,3,3,3,4,3,7,2,7,4,18,9,17,12,9,15,10,20,17,13,11,9,9,6,8,6,10,6,15,8,5,7,5,8,6,4,6,9,7,3,13,19,6,12,18,16,13,15,14,15,9,7,11,8,13,10,9,15,4,2,5,7,5,3,5,3,7,8,3,6,13,11,14,14,6,9,10,12,15,7,11,10,6,5,7,12,6,7,7,10,4,7,6,8,5,10,7,8,9,5,9,7,12,17,7,3,5,4,6,6
5,9,10,11,4,5,7,5,6,7,9,12,7,8,8,10,7,4,11,9,6,10,11,6,6,2,11,4,2,7,5,9,7,3,6,8,5,8,8,7,7,10,11,8,7,14,15,13,7,9,9,6,3,7,2,6,5,6,7,8,2,5,8,8,12,7,11,6,8,8,13,10,13,10,13,11,10,20,14,11,4,6,5,7,3,4,5,7,7,3,3,4,11,8,6,10,6,11,6,10,15,11,13,14,12,13,8,14,9,19,7,4,2,4,3,2,4,2,3,6,4,2,9,4,8,13,10,9,7,9,16,19,18,19,8,18,14,19,12,14,6,2,4,2,8,4,6,3,1,7,10,13,8,7,8,6,13,8,21,9,9,12,15,16,13,17,17,12,22,14,5,5,7,10,5,5,6,3,6,4,4,6,9,13,17,11,6,12,12,13,7,19,10,12,13,13,8,13,15,9,6,9,11,9,10,6,12,5,10,6,4,11,13,6,9,13,11,12,12,14,8,9,7,13,7,9,14,9,9,14,7,10,15,12,20,9,6,7,7,9,13,7,8,11,10,7,6,7,6,5,7,9,8,10,12,3,4,13,16,15,11,8,11,12,12,13,11,10,9,18,11,10,8,7,10,5,9,12,7,21,10,5,6,6,8,8,8,11,5,6,8,6,12,10,19,14,13,15,10,14,15,5,9,15,6,10,14,8,11,9,9,3,5,9,4,3,5,2,8,7,12,16,8,15,15,19,19,14,10,17,7,8,5,13,6,13,9,16,8,9,1,3,4,8,4,3,4,5,5,4,10,9,13,10,16,15,14,12,13,10,13,13,13,10,18,11,8,6,14,7,6,7,6,7,7,5,3,3,8,4,14,23,12,11,20,13,15,18,13,13,7,7,6,9,10,12,9,18,10,8,3,4,3,5,4,8,5,2,3,3,13,15,13,18,8,5,12,5,9,11,3,7,12,6,9,8,7,9,4,10,5,6,3,8,6,4,3,5,5,5,10,12,15,12,13,13,9,12,10,8,7,11,6,3,9,14,7,16,2,12,10,5,6,11,5,5,13,8,5,5,7,10,11,8,9,6,3,5,10,5
